PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
95,2022-04-22,19:02:39.41,5,1,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,2,Bottom,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.54787,-2.62758,-3.808306,1938.273005,247.248426,2:15,6.03111,2.38638,5.80876,-29.37151,8.34382,16.90178,1.13292,0.24821,79.13474,-8.05693,-0.782689,0.442008,,,,,,,,,,,,-9.74201,5.39292,-2.08393,50,5.79762,7.64645,-125.32897,-6.74706,-15.43699,26.21486,-23.62854,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,502b31d0-c290-11ec-91bc-95a4c9711d94,85.27541,,,7.41313,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:02:39.41,2022-04-22T19:02:39.4110674-04:00,2022-04-22T23:02:39.4110674Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,44352686-f539-4c96-be56-2206714320d7,54.69006,-126.30618,13.10743,6.03271,-5.86627,-11.81427,-2.37969,8.22189,-7.71849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
96,2022-04-22,19:03:00.25,5,2,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,2,Bottom,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.70978,-2.293412,-1.2255,2489.200551,192.510649,12:30,6.33533,1.90657,5.91139,-11.34788,20.7045,4.34921,3.25946,1.13141,84.94401,-4.512182,-0.444879,0.407475,,,,,,,,,,,,-2.57445,11.57284,-1.81066,50,6.14467,2.70854,-135.89279,-5.71466,-4.77812,31.85748,-10.69502,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,5c8b1260-c290-11ec-91bc-95a4c9711d94,92.50236,,,8.76576,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:03:00.25,2022-04-22T19:03:00.2558162-04:00,2022-04-22T23:03:00.2558162Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,59abfe1f-2214-4318-b71a-6d2a432553ab,54.58369,-136.96313,15.92874,6.33063,-5.35533,-5.34751,-1.90435,2.86907,-2.38906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
97,2022-04-22,19:03:21.26,5,3,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,2,Bottom,2,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,1,,82.57767,-1.805726,-1.062717,2860.435671,75.335285,8:30,6.11381,2.17725,5.63937,-43.73542,-1.9339,-12.78418,0.78382,0.1204,75.55797,-9.775159,-3.352523,0.465337,96.27369,4.485207,-32.92382,3814.52218,,,,84.46589,,-35.096461,0.634762,6.20504,-0.05213,-2.07849,50,5.93232,2.72819,-119.79625,-5.28039,8.90529,25.82295,-32.24887,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,6923b630-c290-11ec-91bc-95a4c9711d94,81.00034,2.61554,,7.0197,,,,2.12426,1.17682,-0.3157,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:03:21.26,2022-04-22T19:03:21.2644050-04:00,2022-04-22T23:03:21.2644050Z,GroundBall,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,4a65af81-5647-4585-9dff-de83e5342f68,54.86016,-120.83935,12.91148,6.11931,-3.97772,-16.12444,-2.18143,2.36846,4.45264,,2.15836,117.43603,-18.92536,,,,,,,1.20253,10.49605,-19.57994,,,,,,,-0.30286,-76.78773,1.16418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
98,2022-04-22,19:04:02.94,6,1,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,2,Bottom,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.21337,-2.656796,-1.717592,2366.963641,198.241944,12:30,6.36832,2.06932,6.07771,-9.14997,23.26127,7.27658,3.1448,1.08606,83.96542,-4.501961,-0.408021,0.40975,69.4244,64.191081,118.645539,4838.621347,,,,,,,,-4.30347,13.18587,-1.94035,50,6.15791,3.73461,-135.09825,-6.43598,-7.83613,33.48555,-8.16419,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,81edd790-c290-11ec-91bc-95a4c9711d94,91.98879,37.28854,,9.24795,,,,0.92207,2.75094,-1.09684,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:04:02.94,2022-04-22T19:04:02.9458642-04:00,2022-04-22T23:04:02.9458642Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,ea01dab7-db2f-4feb-a17e-2b25593a719a,54.41872,-136.18907,16.74278,6.36324,-6.17003,-4.08209,-2.06617,3.98988,-3.91806,338.541039,0.9389,-21.76505,-5.38277,,,,,,,2.77676,90.88904,-31.18231,,,,,,,-1.09123,38.73759,-5.63115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
99,2022-04-22,19:04:25.87,6,2,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,2,Bottom,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.04305,-1.152177,-1.596512,2391.304168,191.61377,12:30,6.29672,1.68621,6.34513,-14.43831,18.21977,3.51599,4.03232,0.50914,83.41645,-3.954657,-0.960394,0.411308,,,,,,,,,,,,-2.28752,10.11583,-1.57165,50,6.20575,3.57305,-133.60966,-3.04414,-4.10196,30.93831,-14.03446,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,8f970100-c290-11ec-91bc-95a4c9711d94,91.64051,,,8.6266,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:04:25.87,2022-04-22T19:04:25.8791634-04:00,2022-04-22T23:04:25.8791634Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,aa93a147-4451-419d-9330-f1c4712a7480,54.14916,-134.567,15.46915,6.29323,-2.60986,-7.01723,-1.68418,3.69998,-2.05098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
100,2022-04-22,19:04:43.83,6,3,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,2,Bottom,2,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.48793,-1.943359,-1.459959,2413.365847,187.354643,12:15,6.40745,2.05439,6.13712,-13.83391,19.41206,2.36201,3.45732,0.90165,83.18722,-4.619637,-1.034255,0.414993,,,,,,,,,,,,-1.61287,10.82662,-1.94403,50,6.25129,3.2757,-132.71699,-4.83887,-2.86568,29.42074,-12.93796,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,9a619b90-c290-11ec-91bc-95a4c9711d94,90.82666,,,8.30072,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:04:43.83,2022-04-22T19:04:43.8399698-04:00,2022-04-22T23:04:43.8399698Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,f039f037-7243-4f25-9b4a-1e2778dd694c,54.35493,-133.67891,14.71037,6.40258,-4.41586,-6.46898,-2.05266,3.36939,-1.43284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
101,2022-04-22,19:05:08.35,6,4,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,2,Bottom,2,1,2,ChangeUp,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.42762,-2.49803,-4.05388,2017.280436,221.006534,1:15,6.04704,2.50643,5.8126,-20.66879,17.21277,13.84186,1.99453,-0.11591,78.66849,-6.395667,-1.580746,0.442981,74.17943,-16.439606,-83.239916,,,,,,,,,-8.29182,9.91067,-2.18231,50,5.82966,8.30101,-125.09936,-6.09256,-13.07314,26.43818,-16.54859,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,a8f83240-c290-11ec-91bc-95a4c9711d94,85.08809,2.08776,,7.75913,,,,2.6741,2.08776,0.30851,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:05:08.35,2022-04-22T19:05:08.3526354-04:00,2022-04-22T23:05:08.3526354Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,5690ed78-538b-4b4f-9517-0fb44334e060,54.68579,-126.08576,13.21909,6.04545,-5.47514,-8.27429,-2.50111,8.78876,-6.53657,180,2.67406,12.29361,,,,,,,,2.08785,-30.81621,,,,,,,,0.30883,-103.71182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
102,2022-04-22,19:05:54.19,6,5,"Johnson, Marcus",1000075172,Right,DUK_BLU,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,2,Bottom,2,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.31288,-2.256464,-2.396467,2839.327145,79.812761,8:45,6.1771,2.2453,5.51148,-42.07242,-0.41102,-8.93548,0.55808,-0.7416,76.57284,-9.857853,-3.990652,0.464556,,,,,,,,,,,,3.93551,0.6926,-2.02997,50,5.95147,5.35003,-119.47322,-6.17283,5.71929,21.84413,-31.16754,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,c44f6720-c290-11ec-91bc-95a4c9711d94,81.13644,,,5.74004,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:05:54.19,2022-04-22T19:05:54.1983954-04:00,2022-04-22T23:05:54.1983954Z,,v3,,,22 April 2022 18:00-duke@gatech,"Yu, Andrew",1000077104,Right,DUK_BLU,ad65b489-2f32-48c9-b10f-c9496337c34c,54.98971,-120.38207,10.92206,6.18132,-4.87607,-15.58377,-2.24761,5.11208,2.85965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
103,2022-04-22,19:08:33.59,1,1,"Huff, Chance",8890974,Right,GIT_YEL,"Storm, Luke",1000008381,Left,DUK_BLU,Undefined,3,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.64691,0.048674,-1.416701,2574.247872,58.286852,8:00,5.48156,1.6684,4.77242,-49.01463,-5.12567,-10.5728,1.44317,-0.55599,74.89663,-8.750587,-3.278069,0.476814,,,,,,,,,,,,4.8041,-2.15449,-1.51677,50,5.44318,3.38833,-118.40131,-1.79775,6.78453,23.69778,-35.21672,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,23506300-c291-11ec-91bc-95a4c9711d94,79.05057,,,6.75028,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:08:33.59,2022-04-22T19:08:33.5973074-04:00,2022-04-22T23:08:33.5973074Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,c4d787c7-492c-4fb4-b17a-bf4dbe9d6deb,55.72759,-119.54218,11.84889,5.48892,-0.10233,-17.60836,-1.67203,3.0617,3.39226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
104,2022-04-22,19:08:50.06,1,2,"Huff, Chance",8890974,Right,GIT_YEL,"Storm, Luke",1000008381,Left,DUK_BLU,Undefined,3,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,Bunt,Error,0,0,,93.00924,-1.99668,-2.988136,2256.798639,235.511837,1:45,5.74129,1.52782,5.26265,-22.66442,10.41619,13.64863,1.97349,-0.14456,85.23034,-6.171629,-0.569192,0.41396,,,,,,,,,,,,-7.7204,6.06233,-1.26489,50,5.54169,6.40899,-134.8316,-5.57037,-14.24081,28.76348,-20.99163,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,2d154d60-c291-11ec-91bc-95a4c9711d94,91.05337,,,7.7789,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:08:50.06,2022-04-22T19:08:50.0676818-04:00,2022-04-22T23:08:50.0676818Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,5ee0c82c-15df-4c98-9161-9f83e6e84f9b,55.23751,-135.94432,14.38174,5.74147,-4.75831,-10.49582,-1.52348,6.9599,-7.12041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
105,2022-04-22,19:09:27.21,2,1,"Huff, Chance",8890974,Right,GIT_YEL,"Yu, Andrew",1000077104,Right,DUK_BLU,Undefined,3,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.54565,-2.224113,-3.897911,2278.84725,217.124493,1:15,5.52964,1.59573,5.06922,-18.30765,15.40225,10.85213,1.90112,-1.18068,84.73697,-5.620877,-1.985756,0.417879,,,,,,,,,,,,-6.42469,8.56107,-1.23427,50,5.30396,8.60245,-133.94105,-5.88565,-11.71707,27.86834,-16.56079,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,43469b70-c291-11ec-91bc-95a4c9711d94,90.1995,,,7.80868,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:09:27.21,2022-04-22T19:09:27.2136402-04:00,2022-04-22T23:09:27.2136402Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,e50ee77b-d282-4a1a-a6db-811c50cfc9fe,55.42866,-135.06584,13.93417,5.52802,-5.21725,-8.28039,-1.59101,9.07536,-5.85853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
106,2022-04-22,19:09:46.40,2,2,"Huff, Chance",8890974,Right,GIT_YEL,"Yu, Andrew",1000077104,Right,DUK_BLU,Undefined,3,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.97311,-1.308544,-4.389248,2340.033464,228.412242,1:30,5.55805,1.50085,5.37948,-16.92123,16.19666,17.03206,2.91748,-1.20243,84.69118,-4.492618,-1.373165,0.414193,,,,,,,,,,,,-9.75193,8.80949,-1.11978,50,5.42898,9.52626,-134.57661,-3.65792,-17.88791,29.14725,-16.01486,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,4ea5d4e0-c291-11ec-91bc-95a4c9711d94,91.00211,,,8.28193,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:09:46.40,2022-04-22T19:09:46.4059602-04:00,2022-04-22T23:09:46.4059602Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,3ed4b162-851b-4ef6-8964-399b49458751,55.11873,-135.68072,14.57363,5.55606,-3.05127,-8.00743,-1.49347,10.20386,-8.94396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
107,2022-04-22,19:10:07.06,2,3,"Huff, Chance",8890974,Right,GIT_YEL,"Yu, Andrew",1000077104,Right,DUK_BLU,Undefined,3,Top,0,1,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,79.5559,1.442314,-1.007323,2527.581769,61.65268,8:00,5.30466,1.72444,5.11283,-52.00097,-6.29941,-14.41438,2.33051,-0.42582,72.76419,-7.971455,-3.558977,0.486561,85.44298,39.008931,58.677097,4502.72631,,,,,,,,6.92032,-3.20197,-1.61767,50,5.39949,2.61682,-115.41857,1.02896,9.2691,22.89901,-36.46281,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,5aff9af0-c291-11ec-91bc-95a4c9711d94,77.4671,73.79166,,6.79171,,,,1.42364,2.45479,0.06712,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:10:07.06,2022-04-22T19:10:07.0611666-04:00,2022-04-22T23:10:07.0611666Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,a2a0dac9-ef79-4c9b-b580-fdbb406af705,55.38813,-116.48267,11.4495,5.3123,2.72336,-18.2314,-1.72927,2.18609,4.63455,,1.42365,50.62109,-18.30218,4.30318,-0.82636,0.04912,0.00556,0.03532,-0.01457,2.45478,78.88116,-23.51859,3.20614,-1.02824,0.43713,-0.06791,-0.07629,0.03044,0.06713,83.18352,-12.77179,2.99664,-0.60433,0.0651,-0.00072,0.01548,-0.00662,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
108,2022-04-22,19:10:31.34,2,4,"Huff, Chance",8890974,Right,GIT_YEL,"Yu, Andrew",1000077104,Right,DUK_BLU,Undefined,3,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.1543,0.205522,-2.022867,2314.80645,219.493424,1:15,5.53392,1.50535,5.43085,-15.33902,17.31694,13.27052,4.44826,0.71598,84.28609,-2.737049,0.336755,0.411294,,,,,,,,,,,,-7.27378,8.94937,-1.33533,50,5.54198,4.16395,-136.33122,0.00737,-13.4419,35.03032,-15.63572,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,697b7db0-c291-11ec-91bc-95a4c9711d94,91.6435,,,9.86821,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:10:31.34,2022-04-22T19:10:31.3442002-04:00,2022-04-22T23:10:31.3442002Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,37997c31-9572-4ea2-8eba-cb00b4223926,55.06287,-137.62598,17.51516,5.53103,0.58528,-7.81786,-1.49842,4.66078,-6.72095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
109,2022-04-22,19:10:54.20,2,5,"Huff, Chance",8890974,Right,GIT_YEL,"Yu, Andrew",1000077104,Right,DUK_BLU,Undefined,3,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.5738,-0.11204,-1.750647,2598.248454,59.021622,8:00,5.27211,1.58065,5.05276,-52.57763,-6.37886,-13.30757,0.78493,-1.17989,72.49434,-9.600744,-4.105826,0.4892,,,,,,,,,,,,6.0713,-2.71378,-1.40278,50,5.21941,4.0738,-115.31013,-2.14016,8.04168,24.69007,-35.76857,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,771ae320-c291-11ec-91bc-95a4c9711d94,77.04913,,,7.07945,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:10:54.20,2022-04-22T19:10:54.2023378-04:00,2022-04-22T23:10:54.2023378Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,07466121-8153-495d-9af4-7cbe5c7b263c,55.44674,-116.47054,12.34503,5.28049,-0.45907,-17.88429,-1.58536,3.69585,4.02084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
110,2022-04-22,19:11:16.23,2,6,"Huff, Chance",8890974,Right,GIT_YEL,"Yu, Andrew",1000077104,Right,DUK_BLU,Undefined,3,Top,0,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,93.08221,-2.566295,-3.815322,2245.287595,243.86538,2:15,5.39664,1.60666,5.48261,-24.26139,8.6878,15.51009,0.96685,-0.67579,85.06381,-7.039799,-1.057407,0.413137,,,,,,,,,,,,-8.94339,5.42237,-1.2827,50,5.15459,8.27882,-134.75899,-6.96028,-16.41963,29.72117,-22.21885,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,843958c0-c291-11ec-91bc-95a4c9711d94,91.23482,,,8.0184,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:11:16.23,2022-04-22T19:11:16.2311378-04:00,2022-04-22T23:11:16.2311378Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,369a9b31-8efb-4628-9bc2-832c6c5ab456,55.01674,-135.86093,14.86058,5.39738,-6.1365,-11.10942,-1.60093,8.88759,-8.20982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
111,2022-04-22,19:15:31.81,3,1,"Brown, Dawson",90000173348,Right,GIT_YEL,"Lux, Damon",1000049079,Right,DUK_BLU,Undefined,3,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.37591,-0.713604,-4.691498,2342.519825,117.480418,10:00,5.3336,2.45223,5.25209,-39.71447,3.35343,-2.87154,1.35124,-2.20526,73.80447,-8.011266,-5.198131,0.472333,,,,,,,,,,,,-0.44047,2.53406,-2.0189,50,5.2395,9.98034,-120.05118,-2.93307,-0.61754,31.74382,-28.62133,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,1c99d4a0-c292-11ec-91bc-95a4c9711d94,79.80056,,,9.57145,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:15:31.81,2022-04-22T19:15:31.8190290-04:00,2022-04-22T23:15:31.8190290Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,10b7c96b-c138-49e3-911f-fa3cfa369bbf,55.238,-121.42831,15.87191,5.33981,-1.6914,-14.31066,-2.45245,10.00713,-0.30877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
112,2022-04-22,19:15:49.64,3,2,"Brown, Dawson",90000173348,Right,GIT_YEL,"Lux, Damon",1000049079,Right,DUK_BLU,Undefined,3,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.34335,-2.049373,-4.728076,2215.316857,231.355033,1:45,5.20547,2.47182,5.17768,-22.08458,12.20827,13.70887,1.42935,-0.84473,83.32969,-6.149226,-2.310773,0.421476,,,,,,,,,,,,-8.26032,7.07811,-2.04189,50,4.99785,10.35774,-133.30574,-5.60836,-14.69206,31.74945,-19.58468,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,2725df90-c292-11ec-91bc-95a4c9711d94,89.42953,,,9.01366,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,23:15:49.64,2022-04-22T19:15:49.6493266-04:00,2022-04-22T23:15:49.6493266Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,65e1fb0a-3522-4961-94b7-2156cbddc72b,55.31772,-134.5663,15.87472,5.20509,-4.83078,-9.79234,-2.46471,10.94107,-7.34603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
